driverId,Win or Lost,counts,per,per100
561,lost,3,1.0,100.0
562,lost,4,1.0,100.0
563,lost,4,1.0,100.0
564,lost,2,1.0,100.0
565,lost,3,1.0,100.0
566,lost,9,1.0,100.0
567,lost,3,1.0,100.0
568,lost,1,1.0,100.0
569,lost,1,1.0,100.0
570,lost,1,1.0,100.0
571,lost,1,1.0,100.0
572,lost,1,1.0,100.0
573,lost,2,1.0,100.0
574,lost,1,1.0,100.0
575,lost,1,1.0,100.0
576,lost,1,1.0,100.0
577,lost,25,0.9615384615384616,96.2
577,win,1,0.038461538461538464,3.8
578,lost,45,0.9375,93.8
578,win,3,0.0625,6.2
579,lost,34,0.5862068965517241,58.6
579,win,24,0.41379310344827586,41.4
580,lost,14,1.0,100.0
581,lost,34,0.918918918918919,91.9
581,win,3,0.08108108108108109,8.1
582,lost,1,1.0,100.0
583,lost,7,1.0,100.0
584,lost,1,1.0,100.0
585,lost,2,1.0,100.0
586,lost,9,1.0,100.0
587,lost,1,1.0,100.0
588,lost,1,1.0,100.0
589,lost,17,1.0,100.0
590,lost,14,1.0,100.0
591,lost,1,1.0,100.0
592,lost,6,1.0,100.0
593,lost,9,0.9,90.0
593,win,1,0.1,10.0
594,lost,3,1.0,100.0
595,lost,2,1.0,100.0
596,lost,5,1.0,100.0
597,lost,5,1.0,100.0
598,lost,1,1.0,100.0
599,lost,1,1.0,100.0
600,lost,1,1.0,100.0
601,lost,2,1.0,100.0
602,lost,1,1.0,100.0
603,lost,1,1.0,100.0
604,lost,1,1.0,100.0
605,lost,1,1.0,100.0
606,lost,6,1.0,100.0
607,lost,9,1.0,100.0
608,lost,17,1.0,100.0
609,lost,12,1.0,100.0
610,lost,3,1.0,100.0
611,lost,8,0.8888888888888888,88.9
611,win,1,0.1111111111111111,11.1
612,lost,11,1.0,100.0
613,lost,4,1.0,100.0
614,lost,1,1.0,100.0
615,lost,8,1.0,100.0
616,lost,1,1.0,100.0
617,lost,1,1.0,100.0
618,lost,1,1.0,100.0
619,lost,7,1.0,100.0
620,lost,10,1.0,100.0
621,lost,1,1.0,100.0
622,lost,6,1.0,100.0
623,lost,2,1.0,100.0
624,lost,8,1.0,100.0
625,lost,7,1.0,100.0
626,lost,29,1.0,100.0
627,lost,39,1.0,100.0
628,lost,4,0.8,80.0
628,win,1,0.2,20.0
629,lost,3,1.0,100.0
630,lost,4,1.0,100.0
631,lost,2,1.0,100.0
632,lost,11,1.0,100.0
633,lost,35,1.0,100.0
634,lost,1,1.0,100.0
635,lost,1,1.0,100.0
636,lost,1,1.0,100.0
637,lost,1,1.0,100.0
638,lost,3,1.0,100.0
639,lost,1,1.0,100.0
640,lost,23,1.0,100.0
641,lost,17,0.9444444444444444,94.4
641,win,1,0.05555555555555555,5.6
642,lost,32,0.8648648648648649,86.5
642,win,5,0.13513513513513514,13.5
643,lost,17,1.0,100.0
644,lost,9,1.0,100.0
645,lost,5,1.0,100.0
646,lost,1,1.0,100.0
647,lost,23,0.6388888888888888,63.9
647,win,13,0.3611111111111111,36.1
648,lost,12,1.0,100.0
649,lost,2,1.0,100.0
650,lost,5,1.0,100.0
651,lost,15,1.0,100.0
652,lost,1,1.0,100.0
653,lost,6,1.0,100.0
654,lost,5,1.0,100.0
655,lost,3,1.0,100.0
656,lost,4,1.0,100.0
657,lost,3,0.6,60.0
657,win,2,0.4,40.0
658,lost,6,1.0,100.0
659,lost,5,1.0,100.0
660,lost,25,1.0,100.0
661,lost,4,1.0,100.0
662,lost,1,1.0,100.0
663,lost,16,1.0,100.0
664,lost,7,1.0,100.0
665,lost,2,1.0,100.0
666,lost,3,1.0,100.0
667,lost,2,1.0,100.0
668,lost,1,1.0,100.0
669,lost,19,1.0,100.0
670,lost,12,1.0,100.0
671,lost,1,1.0,100.0
672,lost,2,1.0,100.0
673,lost,3,1.0,100.0
674,lost,1,1.0,100.0
675,lost,4,1.0,100.0
676,lost,1,1.0,100.0
677,lost,4,1.0,100.0
678,lost,1,1.0,100.0
679,lost,2,1.0,100.0
680,lost,7,1.0,100.0
681,lost,2,1.0,100.0
682,lost,1,1.0,100.0
683,lost,1,1.0,100.0
684,lost,1,1.0,100.0
685,lost,1,1.0,100.0
686,lost,7,1.0,100.0
687,lost,12,1.0,100.0
688,lost,5,1.0,100.0
689,lost,9,1.0,100.0
690,lost,2,1.0,100.0
691,lost,2,1.0,100.0
692,lost,3,1.0,100.0
693,lost,3,1.0,100.0
694,lost,1,1.0,100.0
695,lost,1,1.0,100.0
696,lost,1,1.0,100.0
697,lost,17,1.0,100.0
698,lost,1,1.0,100.0
699,lost,3,1.0,100.0
700,lost,2,1.0,100.0
701,lost,2,1.0,100.0
702,lost,5,1.0,100.0
703,lost,2,1.0,100.0
704,lost,13,1.0,100.0
705,lost,2,1.0,100.0
706,lost,1,1.0,100.0
707,lost,1,1.0,100.0
708,lost,5,1.0,100.0
709,lost,2,1.0,100.0
710,lost,2,1.0,100.0
711,lost,1,1.0,100.0
712,lost,2,1.0,100.0
713,lost,1,1.0,100.0
714,lost,1,1.0,100.0
715,lost,2,1.0,100.0
716,lost,1,1.0,100.0
717,lost,4,1.0,100.0
718,lost,1,1.0,100.0
719,lost,1,1.0,100.0
720,lost,2,1.0,100.0
721,lost,5,1.0,100.0
722,lost,3,1.0,100.0
723,lost,7,1.0,100.0
724,lost,2,1.0,100.0
725,lost,2,1.0,100.0
726,lost,3,1.0,100.0
727,lost,1,1.0,100.0
728,lost,2,1.0,100.0
729,lost,3,1.0,100.0
730,lost,3,1.0,100.0
731,lost,3,1.0,100.0
732,lost,3,1.0,100.0
733,lost,2,1.0,100.0
734,lost,2,1.0,100.0
735,lost,3,1.0,100.0
736,lost,2,1.0,100.0
737,lost,1,1.0,100.0
738,lost,4,1.0,100.0
739,lost,1,1.0,100.0
740,lost,2,1.0,100.0
741,lost,12,1.0,100.0
742,lost,2,1.0,100.0
743,lost,1,1.0,100.0
744,lost,2,1.0,100.0
745,lost,1,1.0,100.0
746,lost,4,1.0,100.0
747,lost,4,1.0,100.0
748,lost,3,1.0,100.0
749,lost,3,1.0,100.0
750,lost,1,1.0,100.0
751,lost,1,1.0,100.0
752,lost,1,1.0,100.0
753,lost,1,1.0,100.0
754,lost,1,1.0,100.0
755,lost,1,1.0,100.0
756,lost,3,1.0,100.0
757,lost,1,1.0,100.0
758,lost,1,1.0,100.0
759,lost,2,1.0,100.0
760,lost,1,1.0,100.0
761,lost,1,1.0,100.0
762,lost,5,1.0,100.0
763,lost,5,1.0,100.0
764,lost,3,1.0,100.0
765,lost,2,1.0,100.0
766,lost,1,0.5,50.0
766,win,1,0.5,50.0
767,lost,1,1.0,100.0
768,lost,2,1.0,100.0
769,lost,1,1.0,100.0
770,lost,2,1.0,100.0
771,lost,2,1.0,100.0
772,lost,2,1.0,100.0
