raceId,year,round,circuitId,race_name,date,time,races_url,circuitRef,circuit_name,location,country,lat,lng,circuits_url
296,1992,8,8,French Grand Prix,1992-07-05,0,http://en.wikipedia.org/wiki/1992_French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
311,1991,7,8,French Grand Prix,1991-07-07,0,http://en.wikipedia.org/wiki/1991_French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
27,2008,10,10,German Grand Prix,2008-07-20,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
64,2006,12,10,German Grand Prix,2006-07-30,14:00:00,http://en.wikipedia.org/wiki/2006_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
82,2005,12,10,German Grand Prix,2005-07-24,14:00:00,http://en.wikipedia.org/wiki/2005_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
101,2004,12,10,German Grand Prix,2004-07-25,0,http://en.wikipedia.org/wiki/2004_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
119,2003,12,10,German Grand Prix,2003-08-03,0,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
135,2002,12,10,German Grand Prix,2002-07-28,0,http://en.wikipedia.org/wiki/2002_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
152,2001,12,10,German Grand Prix,2001-07-29,0,http://en.wikipedia.org/wiki/2001_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
168,2000,11,10,German Grand Prix,2000-07-30,0,http://en.wikipedia.org/wiki/2000_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
